番号,質問,選択肢1,説明_1,選択肢2,説明_2,選択肢3,説明_3,選択肢4,説明_4,選択肢5,説明_5,correct,domain
1,データストレージと運用の知識領域の目標の1つは,データの保存と処理の要件を特定する,データストレージと処理要件の特定は、データストレージと運用の知識領域の重要な側面です。データ資産のストレージニーズと処理要件を理解することは、効率的かつ効果的なデータストレージソリューションを設計するために不可欠です。,データテクノロジー資産のROIを確保する,データテクノロジー資産のROI確保は、データストレージと運用という知識領域よりも、データガバナンスとコンプライアンスという知識領域に近いと言えます。テクノロジー投資の最適化は重要ですが、この知識領域の主な目標はROIに特化しているわけではありません。,必要な形式と時間枠で、規制に準拠しながら安全にデータを提供します。,必要な形式と期間内で、規制を遵守しながら安全にデータを提供することは、データの保管と運用というよりも、データセキュリティとプライバシーに関連します。データセキュリティとコンプライアンスはデータ保管の重要な側面ですが、この知識領域の主な目標はセキュリティとコンプライアンスだけに焦点を当てたものではありません。,データ管理技術を推進する,データ管理テクノロジーの推進は、データストレージと運用の知識エリアの具体的な目標ではありません。テクノロジーはデータのストレージと運用において重要な役割を果たしますが、主な焦点はデータ資産を効果的かつ効率的に管理することにあります。,データ資産の完全性を確保するため,データ資産の整合性を確保することは、データストレージと運用の知識エリアの重要な目標です。これには、データのライフサイクル全体を通じてデータの正確性、一貫性、信頼性を維持し、意思決定と業務運営をサポートすることが含まれます。,5,6 Data Storage and Operations
2,SMART はプロジェクトやプログラムの目標を表す頭字語です。SMART は何の略ですか？,具体的、測定可能、達成可能、堅牢、テスト済み,この選択肢は、具体的、測定可能、達成可能、現実的という4つの要素を含んでいるため、正解に近いですが、「タイムリー」が「堅牢」と「テスト済み」に置き換えられています。これらは目標設定において重要な要素ですが、標準的なSMARTフレームワークでは、「タイムリー」は目標の期限設定の重要性を強調するために使用されています。,システム、管理、アーキテクチャ、リソース、テクノロジー,この選択はSMART基準を正確に反映していません。システム、マネジメント、アーキテクチャ、リソース、テクノロジーという用語は、プロジェクトマネジメントにおいて目標を定義する際に用いられる「具体的（Specific）」「測定可能（Measurable）」「達成可能（Achievable）」「現実的（Realistic）」「タイムリー（Timely）」という標準的な構成要素とは一致しません。,具体的、測定可能、達成可能、現実的、タイムリー,SMARTとは、Specific（具体的）、Measurable（測定可能）、Achievable（達成可能）、Realistic（現実的）、Timely（期限内）の頭文字をとったものです。これらの基準は、プロジェクトやプログラムにおいて明確かつ達成可能な目標を設定するために用いられ、目標が明確に定義され、特定の期間内に効果的に測定・達成できることを保証します。,具体的、管理可能、正確、堅牢、テスト済み,この選択には「具体的」や「堅牢」といった用語が含まれていますが、「測定可能」や「タイムリー」ではなく、「管理可能」や「正確」といった用語を使用しているため、標準的なSMART基準から逸脱しています。SMART目標の正しい基準は、明確さと説明責任を確保するために、測定可能で期限が定められた目標を設定することに重点を置いています。,具体的、管理可能、機敏、現実的、話題性がある,この選択肢に含まれる「Specific（具体的）」や「Realistic（現実的）」といった言葉はSMART基準に似ていますが、「Manageable（管理可能）」、「Agile（アジャイル）」、「Topical（局所的）」といった用語は、プロジェクトマネジメントで用いられる標準的なSMARTフレームワークとは整合しません。SMARTの「M」の正しい用語は「Manageable（管理可能）」ではなく「Measurable（測定可能）」です。,3,1 Data Management
3,アメリカ合衆国で教育記録を保護する法律の名前は何ですか?,バーゼルII,BASEL IIは、金融機関のリスク管理と自己資本比率規制に焦点を当てた国際的な銀行規制です。米国における教育記録の保護とは関係ありません。,ソックス,SOX法（サーベンス・オクスリー法）は、米国のすべての上場企業の取締役会、経営陣、および公認会計士事務所に基準を定める法律です。企業情報開示の正確性と信頼性を向上させることで投資家を保護することを目的としています。,連邦法,FERPA（家族教育権とプライバシー法）は、米国の児童生徒の教育記録のプライバシーを保護する法律です。この法律は、保護者に児童生徒の教育記録に関する一定の権利を与え、児童生徒の同意なしにこれらの記録から個人を特定できる情報を開示することを禁止しています。,EPA,EPA（環境保護庁）は、アメリカ合衆国の連邦機関であり、人々の健康と環境の保護に責任を負っています。教育記録の保護については特に規定していません。,GDPR,GDPR（一般データ保護規則）は、EU域内の全個人のデータ保護とプライバシーに焦点を当てた欧州連合（EU）の規則です。米国における教育記録の保護には適用されません。,3,7 Data Security
4,クローラープログラムによってインデックスが更新されるデータベースは、,SQLと呼ばれるデータベーストランザクション技術,SQLと呼ばれるデータベーストランザクション技術は、リレーショナルデータベースの管理とクエリに使用される構造化照会言語（Structured Query Language）を指します。SQLはデータベーストランザクションでよく使用されますが、クローラープログラムによってデータベースインデックスが更新されるシナリオとは特に関係がありません。,ACIDと呼ばれるデータベーストランザクション技術,ACIDと呼ばれるデータベーストランザクション技術は、原子性、一貫性、独立性、永続性といった特性を強化することで、データベーストランザクションの信頼性と一貫性を確保することに重点を置いています。これは、クローラープログラムによって更新されるデータベースインデックスとは直接関係がありません。,NoSQLと呼ばれるデータベーストランザクション技術,NoSQLと呼ばれるデータベーストランザクション技術は、従来のリレーショナルモデルとSQL言語を使用しないデータベースのカテゴリを指します。NoSQLデータベースは柔軟性と拡張性を備えていますが、クローラープログラムによってデータベースインデックスが更新されるというシナリオには直接結びついていません。,TRIPと呼ばれるデータベーストランザクション技術,TRIPと呼ばれる、広く認知されているデータベーストランザクション技術は存在しません。データベース管理システムやトランザクション処理の文脈で使用される標準的な用語ではありません。,BASEと呼ばれるデータベーストランザクション技術,クローラープログラムによってインデックスが更新されるデータベースは、BASEと呼ばれるデータベーストランザクション技術の一例です。BASEは、Basically Available（基本的に利用可能）、Soft State（ソフトステート）、Eventually Consistent（最終的に一貫性がある）の略で、従来のACID（原子性、一貫性、独立性、永続性）モデルとは異なるデータベーストランザクションへのアプローチです。,5,6 Data Storage and Operations
5,データストレージとオペレーションにおいて「インスタンス」という用語は,特定のストレージ領域へのアクセスを制御するデータベース ソフトウェアの実行。,データストレージとオペレーションにおけるインスタンスとは、特定のストレージ領域へのアクセスを制御するデータベースソフトウェアの実行を指します。インスタンスは、接続の管理、クエリの処理、そして特定のデータベース環境におけるデータの整合性の確保を担います。,データベーステーブル上の1行,データベーステーブル上の単一の行は、データストレージとオペレーションにおいて一般的に「インスタンス」と呼ばれるものではありません。インスタンスは、テーブル内の個々の行ではなく、データベースソフトウェア全体の実行と管理に関係します。,単一のデータベース。,単一のデータベースは関連するデータテーブルとオブジェクトの集合ですが、データの保存と操作という文脈における「インスタンス」が具体的に何を意味するのかは定義されていません。インスタンスは、データベースシステムにおけるソフトウェアの実行と管理の側面に関するものです。,テーブル、ストアド プロシージャ、ユーザー定義関数などの任意のデータベース オブジェクト。,テーブル、ストアド プロシージャ、ユーザー定義関数などのデータベース オブジェクトはデータベース管理において重要ですが、「インスタンス」という用語は、特にデータベース ソフトウェア自体の実行と、ストレージへのアクセスを制御する方法に関係します。,分散データベース内のサーバー。,分散データベースにおけるサーバーは、複数の場所にデータを保存・管理するコンポーネントですが、データストレージとオペレーションにおいて一般的に「インスタンス」と呼ばれるものではありません。インスタンスは、特定のデータベース環境におけるソフトウェアの実行と制御に重点を置いています。,1,6 Data Storage and Operations
6,エンタープライズデータアーキテクチャは、組織を運営するために必要なものの標準的な用語を定義します。,人間関係,エンタープライズデータアーキテクチャにおけるリレーションシップは、異なるデータ要素間の接続と関連性を定義します。リレーションシップはデータの依存関係を理解する上で重要ですが、組織運営に必要な標準的な用語を直接定義するものではありません。,遺物,エンタープライズ・データ・アーキテクチャにおけるアーティファクトとは、データ管理プロセス中に生成される具体的な出力または成果物です。アーティファクトはデータ・アーキテクチャの文書化と伝達において重要ですが、組織運営に必要な標準的な用語を具体的に定義するものではありません。,メタデータ,エンタープライズデータアーキテクチャにおけるメタデータは、データの構造、形式、意味といった情報を提供します。メタデータはデータの理解と管理に不可欠ですが、組織運営に必要な標準的な用語を具体的に定義するものではありません。,エンティティ,エンタープライズデータアーキテクチャにおけるエンティティとは、組織にとって重要なオブジェクトまたは概念を指します。エンティティは中核となるビジネス要素を表し、データモデルの構造を定義する上で不可欠です。,分類,エンタープライズデータアーキテクチャにおけるタクソノミーとは、データを分類・整理するために使用される階層構造です。タクソノミーは情報の整理に役立ちますが、組織運営に必要な標準的な用語を直接定義するものではありません。,4,4 Data Architecture
7,DMBOK ではなぜセキュリティを「資産」と呼ぶのでしょうか?,データに関するあらゆることは組織にとって有利であり、したがって資産となります。,データに関するすべてが資産とみなせるわけではありません。データセキュリティは、組織の貴重な情報資産を不正アクセスや侵害から守る上で重要な役割を果たすため、特に資産として重視されています。,セキュリティは高価ですが、貸借対照表上では資産として記録されます。,セキュリティ対策には多額の費用がかかる可能性がありますが、貸借対照表では資産として計上されません。セキュリティは、資本化できる有形資産ではなく、運用費用として扱われます。,データセキュリティは基礎となる活動です。,データ セキュリティは確かにデータ管理の基本的な活動ですが、DMBOK ではセキュリティを「資産」と呼んで、組織のデータ資産を保護する上でのセキュリティの本質的な価値と重要性を強調しています。,データには、セキュリティ分類と規制の機密性を示すメタデータがタグ付けされ、企業内を流れる際にデータとともに移動され、保護レベルを保証します。,DMBOKでは、データセキュリティはデータの機密性、整合性、可用性の保護に不可欠であるため、セキュリティを「資産」と呼んでいます。セキュリティ分類と規制上の機密性メタデータでデータをタグ付けすることで、組織はデータが企業内を流れる際に適切なレベルの保護が適用されていることを保証できます。,企業内のすべての資産を認識することが重要であり、データセキュリティはその一つである。,データセキュリティを資産として認識することは、組織がデータ資産を保護することの価値と重要性を理解する上で重要です。セキュリティを資産として扱うことで、組織はリソースを割り当て、データを効果的に保護するための対策を講じることができます。,4,7 Data Security
8,____ の一般化により、組織が製品構成の変更に対応する能力は向上しますか?,データウェアハウス,データウェアハウスとは、ビジネス上の意思決定を支援するために、様々なソースからデータを保存、整理、分析するプロセスを指します。データウェアハウスはデータの管理とアクセスにおいて重要な役割を果たしますが、データアーキテクチャにおける一般化の概念や、それが製品構成の変更に与える影響とは特に関係がありません。,データアーキテクチャ,データアーキテクチャは、データの管理と整理のための構造化されたフレームワークを提供することで、組織が製品構成の変更に対応できるようにする上で重要な役割を果たします。データアーキテクチャの汎用化により、基盤となるデータ構造に大きな変更を加えることなく、製品構成の変更に容易に対応できる柔軟なデータモデルを作成できます。,技術アーキテクチャ,テクニカルアーキテクチャは、組織の技術インフラストラクチャの構造とコンポーネントを定義します。テクニカルアーキテクチャはデータ管理システムとプロセスをサポートする上で重要ですが、データアーキテクチャの一般化の概念や、製品構成の変更を容易にする役割には特に焦点を当てていません。,データ品質,データ品質とは、データの正確性、完全性、一貫性、信頼性を指します。高いデータ品質を維持することは、効果的な意思決定と運用に不可欠ですが、データアーキテクチャにおける一般化の概念や、製品構成の変更への対応への影響とは直接関係がありません。,ビジネスアーキテクチャ,ビジネスアーキテクチャは、組織のビジネス戦略、目標、プロセス、および能力の定義に重点を置いています。ビジネス目標とデータ管理プラクティスを整合させる上で重要ですが、データの一般化を通じて製品構成の変更に対応する能力とは直接関係がありません。,2,4 Data Architecture
9,ビッグデータは、多くの場合、3つの特徴によって定義されます。,方向性、深さ、そして詳細,方向、深さ、詳細は、ビッグデータの定義に用いられる一般的な特性を正確に表していません。正しい特性は、量、多様性、速度です。,複雑性、コンプライアンス、完全性,複雑性、コンプライアンス、完全性はデータ管理の重要な側面ですが、ビッグデータの特性を具体的に定義するものではありません。ビッグデータは、一般的には量、多様性、速度と関連付けられています。,量、多様性、速度,ボリュームとは生成・保存されるデータの量、バラエティとはデータソースの種類と形式、そしてベロシティとはデータが生成・処理される速度を指します。これら3つの特性は、ビッグデータを定義する上で一般的に用いられます。,広大で、魅力的で、巨大,拡張性、エンゲージメント、巨大さといった言葉は、ビッグデータの特性を定義する際に一般的に使われる言葉ではありません。正しい特性は、量、多様性、速度です。,サイズ、スピード、感度,規模と速度はビッグデータの特性と関連していますが、感度は一般的に定義的な特性の一つとは考えられていません。正しい特性は、量、多様性、速度です。,3,14 Big Data and Data Science
10,アルゴリズムがチェスで人間に勝つことを学習する機械学習の一種。,強化学習,強化学習は機械学習の一種で、アルゴリズムが環境との相互作用を通して意思決定を学習します。チェスで人間に勝つという文脈で言えば、アルゴリズムは試行錯誤を通して学習し、良い動きには報酬を、悪い動きにはペナルティを与え、最終的には時間の経過とともに戦略を改善していきます。,教師なし学習,教師なし学習では、ラベル付けされていないデータを用いてモデルを学習させ、データ内のパターンや関係性を発見します。このタイプの学習は、報酬やフィードバックからの学習を必要としないため、チェスで人間に勝つためのアルゴリズムには通常使用されません。,統計学習,統計学習とは、教師あり学習と教師なし学習を含む様々な機械学習手法を包含する広義の用語です。統計学習手法はチェスの文脈でも用いられますが、アルゴリズムがチェスで人間に勝つことを学習するような特定の種類の学習とは異なります。,教師あり学習,教師あり学習では、ラベル付きデータを用いてモデルを学習し、アルゴリズムが入力データを正しい出力にマッピングすることを学習します。教師あり学習は様々な機械学習タスクで広く用いられていますが、チェスで人間に勝つためのアルゴリズムに用いられる主要な学習方法ではありません。,データ駆動型学習,データ駆動型学習とは、データを用いて機械学習モデルを学習するプロセスを指します。機械学習におけるアルゴリズムの学習にはデータが不可欠ですが、データ駆動型学習は、チェスで人間に勝つことをアルゴリズムが学習するような特定の機械学習の種類を指すものではありません。,1,14 Big Data and Data Science
